City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Chicama,PE,-7.8447,-79.1469,63.14,78,100,4.43,overcast clouds
79,Punta Arenas,CL,-53.15,-70.9167,30.31,86,0,5.75,clear sky
80,Wilmington,US,34.2257,-77.9447,67.86,74,0,3.44,clear sky
81,Dikson,RU,73.5069,80.5464,18.25,93,100,20.04,light snow
82,Kashary,RU,49.04,41.0056,49.66,71,89,11.25,overcast clouds
83,Qaanaaq,GL,77.484,-69.3632,7.86,71,52,8.34,broken clouds
84,Tasiilaq,GL,65.6145,-37.6368,28.38,88,59,7.02,broken clouds
85,New Norfolk,AU,-42.7826,147.0587,60.3,61,51,5.01,broken clouds
86,Ivangorod,RU,59.3716,28.2162,33.6,67,35,3.06,scattered clouds
87,Yeppoon,AU,-23.1333,150.7333,80.38,74,41,14.43,scattered clouds
88,Salalah,OM,17.0151,54.0924,84.29,74,40,4.61,scattered clouds
89,Calama,CL,-22.4667,-68.9333,41.49,19,0,17.27,clear sky
90,Bluff,NZ,-46.6,168.3333,61.56,73,99,8.08,overcast clouds
91,Severo-Kurilsk,RU,50.6789,156.125,35.98,84,91,16.98,overcast clouds
92,Yurginskoye,RU,56.8189,67.3921,39.49,44,76,8.16,broken clouds
93,Wanning,CN,18.8003,110.3967,78.55,85,100,9.1,overcast clouds
94,Cairns,AU,-16.9167,145.7667,76.1,88,75,12.66,light rain
95,Basco,PH,20.4487,121.9702,82.99,70,89,9.35,overcast clouds
96,Chapais,CA,49.7834,-74.8492,31.78,94,8,5.86,clear sky
97,Laguna,US,38.421,-121.4238,73.38,29,0,9.22,clear sky
98,Hermanus,ZA,-34.4187,19.2345,52.81,81,56,7.09,broken clouds
99,Khatanga,RU,71.9667,102.5,16.09,88,99,16.82,overcast clouds
100,Flin Flon,CA,54.7682,-101.865,32.36,98,19,3.18,few clouds
101,Cabo San Lucas,MX,22.8909,-109.9124,81.7,62,21,14.76,few clouds
102,Jalu,LY,29.0331,21.5482,63.75,61,0,8.79,clear sky
103,Port Elizabeth,ZA,-33.918,25.5701,61.32,73,0,10.0,clear sky
104,Marystown,CA,47.1666,-55.1483,43.86,100,100,8.01,overcast clouds
105,Atar,MR,20.5169,-13.0499,73.31,20,81,8.41,broken clouds
106,Klaksvik,FO,62.2266,-6.589,45.52,76,100,9.04,overcast clouds
107,Beloha,MG,-25.1667,45.05,63.36,74,0,7.31,clear sky
108,Banda Aceh,ID,5.5577,95.3222,86.14,69,100,9.15,overcast clouds
109,Husavik,IS,66.0449,-17.3389,41.97,83,26,3.74,scattered clouds
110,Gubbi,IN,13.3106,76.9444,87.15,46,13,7.16,few clouds
111,Chuy,UY,-33.6971,-53.4616,49.41,77,14,2.75,few clouds
112,Toora-Khem,RU,52.4675,96.11,60.08,29,77,4.0,broken clouds
113,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,86,20,6.91,few clouds
114,Castro,BR,-24.7911,-50.0119,57.06,97,99,8.01,overcast clouds
115,Ponta Do Sol,PT,32.6667,-17.1,63.72,58,29,2.51,scattered clouds
116,Bartica,GY,6.4,-58.6167,79.12,99,8,2.21,clear sky
117,Grindavik,IS,63.8424,-22.4338,43.27,87,75,5.75,broken clouds
118,Lac Du Bonnet,CA,50.2536,-96.0612,42.12,97,100,8.37,moderate rain
119,Pevek,RU,69.7008,170.3133,18.9,83,100,10.76,overcast clouds
120,Thompson,CA,55.7435,-97.8558,37.56,70,40,3.44,scattered clouds
121,Monywa,MM,22.1167,95.1333,101.3,29,54,12.24,broken clouds
122,Cherskiy,RU,68.75,161.3,14.74,86,96,6.64,overcast clouds
123,Saint-Augustin,CA,51.226,-58.6502,36.09,87,100,21.59,overcast clouds
124,Makaha,US,21.4694,-158.2175,82.31,64,75,9.22,broken clouds
125,Zhanaozen,KZ,43.3,52.8,64.89,51,100,13.27,overcast clouds
126,Aykhal,RU,66.0,111.5,34.95,100,100,8.3,light snow
127,Carnarvon,AU,-24.8667,113.6333,84.27,28,0,16.11,clear sky
128,Chute-Aux-Outardes,CA,49.1168,-68.399,37.38,75,100,8.05,overcast clouds
129,Lasa,IT,46.6166,10.7002,49.08,96,100,2.01,overcast clouds
130,Bethel,US,41.3712,-73.414,50.31,25,0,4.61,clear sky
131,Igrim,RU,63.1906,64.4162,32.29,81,11,10.58,few clouds
132,Rabo De Peixe,PT,37.8,-25.5833,65.28,87,75,10.36,mist
133,Sundby,DK,54.864,11.793,43.05,90,89,5.84,overcast clouds
134,Wexford,IE,52.3342,-6.4575,47.21,81,100,1.36,overcast clouds
135,Saint-Francois,FR,46.4154,3.9054,44.04,93,100,3.44,fog
136,Mindelo,CV,16.8901,-24.9804,69.35,68,20,16.11,few clouds
137,Mackay,AU,-21.15,149.2,83.68,78,40,18.41,scattered clouds
138,Isangel,VU,-19.55,169.2667,80.71,83,75,9.22,broken clouds
139,Aklavik,CA,68.2191,-135.0107,30.09,94,45,8.23,scattered clouds
140,Ribeira Grande,PT,38.5167,-28.7,61.83,88,11,15.88,few clouds
141,Barrow,US,71.2906,-156.7887,15.82,79,100,18.41,overcast clouds
142,Columbus,US,39.9612,-82.9988,57.72,40,75,6.91,broken clouds
143,Nizhniye Vyazovyye,RU,55.7988,48.5248,41.49,66,91,10.65,overcast clouds
144,Cape Town,ZA,-33.9258,18.4232,57.11,91,75,4.61,broken clouds
145,Kapuskasing,CA,49.4169,-82.4331,42.89,33,20,5.75,few clouds
146,Iberia,US,29.9502,-91.7507,69.96,77,0,6.91,clear sky
147,Kodiak,US,57.79,-152.4072,42.31,81,100,29.93,light rain
148,Sorong,ID,-0.8833,131.25,83.97,72,84,8.39,broken clouds
149,Ponta Delgada,PT,37.7333,-25.6667,66.51,94,75,10.36,mist
150,Plettenberg Bay,ZA,-34.0527,23.3716,56.66,84,24,9.64,few clouds
151,Hilo,US,19.7297,-155.09,77.29,85,100,12.66,moderate rain
152,Coahuayana,MX,18.7333,-103.6833,70.79,84,11,1.86,few clouds
153,Bengkulu,ID,-3.8004,102.2655,84.4,69,16,6.06,few clouds
154,Yanam,IN,16.7333,82.2167,97.43,43,31,6.02,scattered clouds
155,Oxbow,CA,49.2333,-102.1676,34.65,90,100,9.8,overcast clouds
156,Oranjemund,NA,-28.55,16.4333,50.94,86,0,5.73,clear sky
157,Jamestown,US,42.097,-79.2353,44.24,50,0,5.75,clear sky
158,Cayenne,GF,4.9333,-52.3333,82.09,1,75,7.0,broken clouds
159,Cabras,IT,39.93,8.5314,50.18,72,0,5.5,clear sky
160,Guerrero Negro,MX,27.9769,-114.0611,59.29,81,12,16.42,few clouds
161,Prieska,ZA,-29.6641,22.7474,51.22,51,0,2.98,clear sky
162,Yakeshi,CN,49.2833,120.7333,42.89,26,26,15.1,scattered clouds
163,East London,ZA,-33.0153,27.9116,61.74,67,0,12.66,clear sky
164,Bambanglipuro,ID,-7.95,110.2833,86.49,66,12,3.91,few clouds
165,Neuquen,AR,-38.9516,-68.0591,39.09,87,0,0.0,clear sky
166,Abu Dhabi,AE,24.4667,54.3667,82.51,66,0,9.22,clear sky
167,North Platte,US,41.1239,-100.7654,53.49,83,100,23.0,light rain
168,Novyye Lapsary,RU,56.0685,47.2142,38.91,56,20,8.95,few clouds
169,Codrington,AU,-38.2667,141.9667,62.26,49,97,19.48,overcast clouds
170,Okhotsk,RU,59.3833,143.3,40.08,71,80,3.44,broken clouds
171,Nichinan,JP,31.6,131.3667,64.08,62,45,8.72,scattered clouds
172,Cockburn Town,TC,21.4612,-71.1419,76.93,72,100,19.57,overcast clouds
173,Bacolod,PH,10.6667,122.95,88.93,63,52,9.75,broken clouds
174,Yellowknife,CA,62.456,-114.3525,32.56,59,20,8.05,few clouds
175,Lumeje,AO,-11.55,20.7833,59.16,78,64,5.26,broken clouds
176,Chokurdakh,RU,70.6333,147.9167,22.08,89,17,9.04,few clouds
177,Barguzin,RU,53.6167,109.6167,39.22,97,100,4.74,moderate rain
178,Manggar,ID,-2.8833,108.2667,87.62,62,77,4.5,broken clouds
179,Torbay,CA,47.6666,-52.7314,38.88,96,100,4.0,fog
180,Tankhoy,RU,51.5528,105.1306,48.54,88,99,4.9,overcast clouds
181,Erenhot,CN,43.6475,111.9767,50.58,12,0,17.0,clear sky
182,Baghdad,IQ,33.3406,44.4009,69.71,64,0,5.75,clear sky
183,Guhagar,IN,17.4842,73.1929,91.38,47,4,3.67,clear sky
184,Nuuk,GL,64.1835,-51.7216,21.81,68,20,23.02,few clouds
185,Adrar,MR,20.5022,-10.0711,70.74,20,18,9.84,few clouds
186,Atuona,PF,-9.8,-139.0333,79.12,73,100,15.93,overcast clouds
