City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
406,Ishigaki,JP,77.13,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
408,Pasco,US,73.04,overcast clouds,28.292,-82.4165,Connection Community/Park
410,Komsomolskiy,UZ,74.12,scattered clouds,40.4272,71.7189,Ikathouse
411,Annau,TM,72.9,broken clouds,37.8876,58.516,"Гостиница ""Уссат инженер"""
422,Byron Bay,AU,79.72,overcast clouds,-28.65,153.6167,Backpackers Inn
428,Conde,BR,72.86,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
433,Alvorada,BR,71.1,clear sky,-12.48,-49.1247,Cristal Plaza Hotel
439,Kutum,SD,75.36,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
445,Panaba,MX,74.16,broken clouds,21.2833,-88.2667,Hotel California
448,Neyshabur,IR,76.14,broken clouds,36.2133,58.7958,Amiran Hotel & Commercial Complex
452,Cap Malheureux,MU,77.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
459,Malvern,US,74.12,clear sky,34.3623,-92.813,Americas Best Value Inn Malvern
471,Acapulco,MX,79.57,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
474,Saint-Joseph,RE,75.58,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
476,Caravelas,BR,73.27,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
479,Susangerd,IR,77.58,few clouds,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
480,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
488,Durant,US,75.56,clear sky,33.994,-96.3708,"Holiday Inn Express & Suites Durant, an IHG Hotel"
489,Hirara,JP,79.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
490,Nortelandia,BR,73.49,broken clouds,-14.4547,-56.8028,Hotel Karysmã
501,Nicoya,CR,79.54,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
505,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
510,Richards Bay,ZA,70.79,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
514,Omboue,GA,77.09,light rain,-1.5746,9.2618,Hotel Olako
518,Riberalta,BO,72.77,overcast clouds,-10.9833,-66.1,Hotel Colonial
535,Praxedis Guerrero,MX,76.46,clear sky,31.3667,-106.0167,Congregación placitas de Otero
545,Igbo Ora,NG,73.81,overcast clouds,7.4333,3.2833,Pinkbell Inn
550,Rurrenabaque,BO,70.34,broken clouds,-14.4413,-67.5278,Casa de Campo
553,Quatre Cocos,MU,78.1,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
555,Harlingen,US,78.71,broken clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
560,Saravena,CO,71.47,broken clouds,6.9538,-71.8752,Hotel Diamante Saravena
561,Bull Savanna,JM,73.78,scattered clouds,17.8868,-77.5902,Big Red's
563,San Pedro De Uraba,CO,76.17,overcast clouds,8.2752,-76.3764,Hotel La Gran Manzana
565,Piacabucu,BR,74.26,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
570,Portmore,JM,78.76,few clouds,17.9702,-76.8672,Grand Hotel Excelsior Port Royal
585,Beeville,US,75.97,overcast clouds,28.4008,-97.7483,"Holiday Inn Express & Suites Beeville, an IHG Hotel"
589,Mitsamiouli,KM,75.49,light rain,-11.3847,43.2844,Foyer ADM
599,Cururupu,BR,73.98,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
601,Dali,CN,76.24,clear sky,25.7,100.1833,Dali Travelling With Hostel
606,Saint-Pierre,RE,77.29,clear sky,-21.3393,55.4781,Lindsey Hôtel
628,Mocajuba,BR,73.36,overcast clouds,-2.5842,-49.5072,Hotel Saylon Mocajuba
629,San Patricio,US,77.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
630,Monrovia,LR,76.77,light rain,6.3005,-10.7969,Sunset Inn
632,Awbari,LY,71.1,clear sky,26.5921,12.7805,فندق أوباري
635,Kentau,KZ,77.29,few clouds,43.5206,68.5094,Safary
649,Majagual,CO,75.52,overcast clouds,8.5389,-74.6204,Achi bolivar
663,Kunming,CN,71.53,few clouds,25.0389,102.7183,昆明佳华广场酒店
665,Mangit,UZ,77.83,broken clouds,40.5971,70.9607,Dangara Hotel
671,Alacranes,CU,71.51,clear sky,22.7675,-81.5675,Hotel Union de Reyes
681,Lazaro Cardenas,MX,75.78,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
695,Kara,TG,75.25,overcast clouds,9.5511,1.1861,Hotel Ma Vision B2K
699,Santa Isabel Do Rio Negro,BR,70.09,overcast clouds,-0.4139,-65.0192,Hotel GSA
700,Lastoursville,GA,71.1,overcast clouds,-0.8143,12.7287,Auberge Bon Coin 02
702,Riachao,BR,73.62,broken clouds,-7.3619,-46.6172,Pousada Nordestina
706,Barinas,VE,78.84,overcast clouds,8.6226,-70.2075,Hotel Mastranto Suite
709,Acarau,BR,78.19,overcast clouds,-2.8856,-40.12,castelo pizzaria
